MainHabs,area_hectares,% of Peak District,% of Total Priority Habitats
Blanket bog,25190.514444489567,17.519936235576225,38.44956345931218
"Blanket bog,Deciduous woodland",2.7896847318726534,0.001940218359870014,0.0042580376977206
Calaminarian grassland,5.393654722599934,0.003751272607985049,0.00823260954004019
Coastal and floodplain grazing marsh,148.60683121966773,0.10335565845139584,0.22682616506539108
Deciduous woodland,6395.447493767665,4.448016833308293,9.761696800761847
Fragmented heath,457.207654778061,0.31798671582434557,0.6978592983962604
Good quality semi improved grassland,2080.657400140838,1.4470917241041654,3.175813218110071
Grass moorland,4470.283908392189,3.109070646514166,6.823221700994933
Limestone pavement,0.3297858751912134,0.00022936520480659175,0.0005033689551712647
Lowland calcareous grassland,2218.348013893938,1.5428551821513419,3.3859774052257317
"Lowland calcareous grassland,Limestone pavement",1.0599821773092672,0.0007372148035415763,0.0016179047109975923
Lowland dry acid grassland,1078.5942558756105,0.7501594550060167,1.646313273177745
"Lowland dry acid grassland,Lowland heathland",0.6482203470096828,0.00045083553856110453,0.000989411686009384
Lowland fens,139.0637353739415,0.09671846050629038,0.2122600524865027
Lowland heathland,459.32513875407875,0.31945942033466573,0.7010913218902379
Lowland meadows,872.3108371470165,0.6066898823402541,1.3314523989988154
Lowland raised bog,11.235853711099761,0.007814506567720836,0.017149855007386784
No main habitat but additional habitats present,2975.094979238444,2.069170697005854,4.541038788778397
Ponds,0.9870961388006199,0.0006865227563446366,0.0015066550432263515
Purple moor grass and rush pastures,505.546169201081,0.3516060248813327,0.7716408315972766
Traditional orchard,19.256003690586322,0.01339249968691653,0.029391417849185995
Upland calcareous grassland,220.79407717335852,0.15356169727277358,0.33700923021738394
Upland flushes fens and swamps,881.911103217461,0.613366842025591,1.3461057733995347
Upland hay meadow,21.277674830192336,0.014798566622677348,0.03247719733762933
Upland heathland,17359.051884944995,12.073174718383887,26.49600382376033
Total,65515.735883832574,45.56602119583502,100.0
